,true_n,n,posterior
668,9,23,1.2796742e-21
669,10,23,3.080727e-31
670,11,23,1.4522448e-18
671,12,23,1.2717833e-15
672,13,23,5.29284e-11
673,14,23,4.9981846e-10
674,15,23,1.1250487e-06
675,16,23,7.837768e-05
676,17,23,6.375912e-06
677,18,23,0.00013152664
678,19,23,0.0010213088
679,20,23,0.08854123
680,21,23,0.08099748
681,22,23,0.25370964
682,23,23,0.24744622
683,24,23,0.30010885
684,25,23,0.13476965
685,26,23,0.045116447
686,27,23,0.0301494
687,28,23,0.0004959744
688,29,23,4.158745e-12
689,30,23,8.356416e-25
690,1,24,5.0297137e-20
691,2,24,6.2554044e-22
692,3,24,5.7438144e-18
693,4,24,6.0379357e-16
694,5,24,1.0127873e-15
695,6,24,6.375076e-15
696,7,24,8.606682e-15
697,8,24,8.3439807e-19
698,9,24,4.5266002e-20
699,10,24,1.8081699e-28
700,11,24,6.61e-43
701,12,24,2.8913966e-18
702,13,24,2.9017705e-11
703,14,24,8.477645e-11
704,15,24,3.077069e-07
705,16,24,2.453419e-05
706,17,24,1.4299651e-06
707,18,24,4.1892374e-05
708,19,24,0.00043711028
709,20,24,0.0017423726
710,21,24,0.0400859
711,22,24,0.17939532
712,23,24,0.21188477
713,24,24,0.2293988
714,25,24,0.19932541
715,26,24,0.07837499
716,27,24,0.09064554
717,28,24,0.010311953
718,29,24,3.171714e-06
719,30,24,5.861756e-10
720,1,25,4.6719394e-20
721,2,25,5.5584704e-22
722,3,25,4.812012e-18
723,4,25,3.0775252e-15
724,5,25,6.5720916e-16
725,6,25,7.218805e-15
726,7,25,2.4441166e-14
727,8,25,6.5828712e-18
728,9,25,8.5414546e-19
729,10,25,3.7765073e-26
730,11,25,1.0785563e-38
731,12,25,2.4605558e-24
732,13,25,1.0293693e-13
733,14,25,9.917023e-13
734,15,25,2.5708085e-08
735,16,25,3.5594373e-06
736,17,25,7.0233748e-09
737,18,25,1.8961142e-06
738,19,25,3.748143e-05
739,20,25,0.00045173016
740,21,25,0.0011929186
741,22,25,0.104908094
742,23,25,0.07285912
743,24,25,0.12498087
744,25,25,0.22474039
745,26,25,0.18482977
746,27,25,0.20707467
747,28,25,0.14115225
748,29,25,0.003011235
749,30,25,0.00014552378
750,1,26,4.349873e-20
751,2,26,4.952484e-22
752,3,26,4.126749e-18
753,4,26,3.3565582e-15
754,5,26,3.6214457e-16
755,6,26,5.626458e-15
756,7,26,5.2586767e-14
757,8,26,2.0565202e-17
758,9,26,9.509741e-18
759,10,26,3.7850335e-24
760,11,26,4.905348e-35
761,12,26,8.398677e-25
762,13,26,1.1292806e-16
763,14,26,6.015805e-15
764,15,26,1.6564187e-09
765,16,26,3.1524812e-07
766,17,26,9.080655e-09
767,18,26,1.094247e-06
768,19,26,1.8586145e-05
769,20,26,0.0004667669
770,21,26,0.00020335379
771,22,26,0.010118854
772,23,26,0.02614004
773,24,26,0.09200646
774,25,26,0.17721823
775,26,26,0.20958142
776,27,26,0.22413471
777,28,26,0.2046067
778,29,26,0.0031001973
779,30,26,1.349308e-05
780,1,27,4.077965e-20
781,2,27,4.489431e-22
782,3,27,3.5532747e-18
783,4,27,3.4396782e-15
784,5,27,6.093094e-16
785,6,27,4.4292755e-15
786,7,27,9.110036e-14
787,8,27,1.8075256e-16
788,9,27,6.839096e-17
789,10,27,2.9207975e-22
790,11,27,4.2474875e-32
791,12,27,2.3582527e-36
792,13,27,3.4729908e-20
793,14,27,2.682475e-17
794,15,27,5.0534597e-11
795,16,27,1.3668005e-08
796,17,27,6.13952e-08
797,18,27,3.2282653e-06
798,19,27,3.285228e-05
799,20,27,0.00022960792
