,trace,fit,frames
837,23314.3046875,23460.148,837
838,23542.029296875,23460.148,838
839,23533.029296875,23460.148,839
840,22101.56640625,22251.352,840
841,23417.69140625,23460.148,841
842,23176.748046875,23460.148,842
843,23613.0234375,23460.148,843
844,23913.982421875,23460.148,844
845,21907.380859375,22251.352,845
846,19905.33984375,19833.758,846
847,21359.890625,21042.555,847
848,19790.064453125,19833.758,848
849,19714.9296875,19833.758,849
850,21052.560546875,21042.555,850
851,19903.58203125,19833.758,851
852,17399.953125,17416.168,852
853,17669.9453125,17416.168,853
854,18825.6796875,18624.963,854
855,17508.22265625,17416.168,855
856,16094.490234375,16207.371,856
857,14728.974609375,14998.575,857
858,14983.7421875,14998.575,858
859,16153.6865234375,16207.371,859
860,16259.2099609375,16207.371,860
861,16140.2236328125,16207.371,861
862,16376.8759765625,16207.371,862
863,16301.3837890625,16207.371,863
864,16370.6328125,16207.371,864
865,16191.513671875,16207.371,865
866,16074.8330078125,16207.371,866
867,16243.279296875,16207.371,867
868,17229.732421875,17416.168,868
869,18770.376953125,18624.963,869
870,18520.927734375,18624.963,870
871,18912.82421875,18624.963,871
872,19591.51171875,19833.758,872
873,19751.24609375,19833.758,873
874,19957.90625,19833.758,874
875,19768.435546875,19833.758,875
876,21099.70703125,21042.555,876
877,22403.271484375,22251.352,877
878,23720.083984375,23460.148,878
