,n_true,n_fit,posterior
748,29,25,0.0012381335
749,30,25,0.00041678463
750,1,26,0.0
751,2,26,0.0
752,3,26,0.0
753,4,26,0.0
754,5,26,0.0
755,6,26,0.0
756,7,26,0.0
757,8,26,0.0
758,9,26,0.0
759,10,26,0.0
760,11,26,0.0
761,12,26,5.40734e-40
762,13,26,1.2134817e-29
763,14,26,1.6219452e-27
764,15,26,1.2359708e-18
765,16,26,9.84605e-17
766,17,26,2.5721664e-10
767,18,26,2.5474514e-10
768,19,26,1.28718e-08
769,20,26,7.733366e-06
770,21,26,0.00016532633
771,22,26,0.011255433
772,23,26,0.032862104
773,24,26,0.06579179
774,25,26,0.116410255
775,26,26,0.12699614
776,27,26,0.080549374
777,28,26,0.25551364
778,29,26,0.107833445
779,30,26,0.012010642
780,1,27,0.0
781,2,27,0.0
782,3,27,0.0
783,4,27,0.0
784,5,27,0.0
785,6,27,0.0
786,7,27,0.0
787,8,27,0.0
788,9,27,0.0
789,10,27,0.0
790,11,27,0.0
791,12,27,1.8e-44
792,13,27,1.8219321e-33
793,14,27,9.55131e-31
794,15,27,9.943468e-22
795,16,27,1.2305679e-19
796,17,27,1.2134601e-12
797,18,27,3.0681957e-12
798,19,27,1.8077306e-10
799,20,27,1.3630063e-07
800,21,27,7.176578e-06
801,22,27,0.0011741209
802,23,27,0.005447984
803,24,27,0.009570562
804,25,27,0.18564151
805,26,27,0.2383888
806,27,27,0.2796582
807,28,27,0.1442425
808,29,27,0.103439584
809,30,27,0.017943958
810,1,28,0.0
811,2,28,0.0
812,3,28,0.0
813,4,28,0.0
814,5,28,0.0
815,6,28,0.0
816,7,28,0.0
817,8,28,0.0
818,9,28,0.0
819,10,28,0.0
820,11,28,0.0
821,12,28,0.0
822,13,28,1.8231285e-37
823,14,28,1.4398398e-34
824,15,28,5.741324e-25
825,16,28,8.461552e-23
826,17,28,5.092413e-15
827,18,28,1.9091238e-14
828,19,28,5.0029696e-13
829,20,28,2.2232984e-09
830,21,28,1.5270597e-07
831,22,28,0.00012107551
832,23,28,0.0010461698
833,24,28,0.0017405627
834,25,28,0.10212241
835,26,28,0.10570784
836,27,28,0.2567492
837,28,28,0.14092368
838,29,28,0.08468117
839,30,28,0.030045722
840,1,29,0.0
841,2,29,0.0
842,3,29,0.0
843,4,29,0.0
844,5,29,0.0
845,6,29,0.0
846,7,29,0.0
847,8,29,0.0
