,N4_trace_good,N4_fit_good,N4_trace_bad,N4_fit_bad,frames
601,10828,10660.584,6923,6807.3857,601
602,10683,10660.584,6954,6807.3857,602
603,10734,10660.584,6831,6807.3857,603
604,10677,10660.584,6829,6807.3857,604
605,10943,10660.584,6934,6807.3857,605
606,10677,10660.584,6819,6807.3857,606
607,10646,10660.584,6870,6807.3857,607
608,10737,10660.584,6749,6807.3857,608
609,11004,10660.584,7065,6807.3857,609
610,11725,11887.693,6369,6339.1646,610
611,11014,11887.693,6351,6339.1646,611
612,12041,11887.693,6469,6339.1646,612
613,12664,11887.693,6351,6339.1646,613
614,12250,11887.693,6414,6339.1646,614
615,11309,11887.693,6380,6339.1646,615
616,10894,10660.584,6470,6339.1646,616
617,10804,10660.584,6429,6339.1646,617
618,10620,10660.584,6446,6339.1646,618
619,10901,10660.584,6355,6339.1646,619
620,10912,10660.584,6329,6339.1646,620
621,10628,10660.584,6450,6339.1646,621
622,10749,10660.584,6316,6339.1646,622
623,10929,10660.584,6299,6339.1646,623
624,10676,10660.584,6348,6339.1646,624
625,11070,10660.584,6516,6339.1646,625
626,10667,10660.584,6497,6339.1646,626
627,10633,10660.584,6301,6339.1646,627
628,10982,10660.584,6298,6339.1646,628
629,10886,10660.584,6467,6339.1646,629
630,10976,10660.584,6495,6339.1646,630
631,10423,10660.584,6351,6339.1646,631
632,9839,9433.476,6320,6339.1646,632
633,9451,9433.476,6413,6339.1646,633
634,9436,9433.476,6441,6339.1646,634
635,9811,9433.476,6354,6339.1646,635
636,9614,9433.476,6278,6339.1646,636
637,9613,9433.476,6270,6339.1646,637
638,9448,9433.476,6306,6339.1646,638
639,9511,9433.476,6504,6339.1646,639
640,9488,9433.476,6405,6339.1646,640
641,9439,9433.476,6318,6339.1646,641
642,9384,9433.476,6501,6339.1646,642
643,9618,9433.476,6324,6339.1646,643
644,9520,9433.476,6283,6339.1646,644
645,9589,9433.476,6401,6339.1646,645
646,10345,10660.584,6482,6339.1646,646
647,10734,10660.584,6272,6339.1646,647
648,10930,10660.584,6489,6339.1646,648
649,10881,10660.584,6272,6339.1646,649
650,10549,10660.584,6191,6339.1646,650
651,10438,10660.584,6326,6339.1646,651
652,10714,10660.584,6499,6339.1646,652
653,10835,10660.584,6395,6339.1646,653
654,10777,10660.584,6529,6339.1646,654
655,11529,11887.693,6394,6339.1646,655
656,11994,11887.693,6050,5870.9434,656
657,12069,11887.693,6027,5870.9434,657
658,12404,11887.693,5800,5870.9434,658
659,11684,11887.693,6002,5870.9434,659
660,11962,11887.693,5863,5870.9434,660
661,11518,11887.693,5935,5870.9434,661
662,11050,11887.693,5810,5870.9434,662
663,11079,11887.693,5933,5870.9434,663
664,11894,11887.693,6006,5870.9434,664
665,10737,10660.584,6380,6339.1646,665
666,10611,10660.584,6349,6339.1646,666
667,10566,10660.584,6295,6339.1646,667
668,10544,10660.584,6444,6339.1646,668
669,10807,10660.584,6480,6339.1646,669
670,11309,11887.693,6403,6339.1646,670
